,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
56,Croatia,"1,121,662",+896,"15,822",+5,"1,099,822",+962,"6,018",24,"276,333","3,898","4,783,774","1,178,533","4,059,093"
57,Cuba,"1,102,750",+191,"8,526",+1,"1,093,247",+221,977,23,"97,468",754,"12,920,253","1,141,970","11,314,005"
58,Lebanon,"1,096,854",+91,"10,384",+2,"1,081,392",+361,"5,078",186,"162,024","1,534","4,795,578","708,389","6,769,695"
59,Lithuania,"1,057,691",+543,"9,092",+5,"1,022,520","+1,026","26,079",29,"398,673","3,427","8,242,836","3,106,952","2,653,030"
60,Tunisia,"1,040,193",,"28,550",,N/A,N/A,N/A,29,"86,365","2,370","4,572,976","379,683","12,044,209"
61,Finland,"1,023,013",,"3,939",,"46,000",,"973,074",24,"184,114",709,"10,720,282","1,929,350","5,556,421"
62,Slovenia,"1,009,110","+1,274","6,592",+4,"989,018","+1,351","13,500",23,"485,275","3,170","2,645,196","1,272,060","2,079,459"
63,Belarus,"979,909",+563,"6,943",+3,"928,536",,"44,430",,"103,764",735,"13,147,723","1,392,229","9,443,653"
64,Nepal,"978,806",+13,"11,951",,"966,612",+19,243,,"32,526",397,"5,635,237","187,263","30,092,577"
65,New Zealand,"923,847","+8,325",696,+13,"869,922","+9,438","53,229",,"184,692",139,"7,075,276","1,414,461","5,002,100"
66,Bolivia,"904,883",+125,"21,910",,"858,053",+576,"24,920",220,"75,637","1,831","2,699,040","225,607","11,963,463"
67,UAE,"898,310",+265,"2,302",,"881,516",+368,"14,492",,"88,868",228,"155,670,872","15,400,180","10,108,380"
68,Uruguay,"895,775",,"7,197",,"886,654",,"1,924",18,"256,251","2,059","6,091,188","1,742,485","3,495,691"
69,Ecuador,"869,124",,"35,588",,N/A,N/A,N/A,759,"47,934","1,963","2,470,170","136,235","18,131,709"
70,Costa Rica,"852,074",,"8,405",,"832,853",,"10,816",45,"164,526","1,623","4,291,131","828,568","5,178,975"
71,Guatemala,"845,868",+879,"17,566",+21,"825,981",+839,"2,321",5,"45,673",948,"4,454,022","240,498","18,519,975"
72,Latvia,"822,013",+411,"5,760",+1,"808,909",+952,"7,344",11,"444,771","3,117","7,174,863","3,882,144","1,848,170"
73,Azerbaijan,"792,558",+37,"9,709",+2,"782,744",+69,105,,"76,903",942,"6,811,382","660,921","10,305,891"
74,Panama,"775,488",+939,"8,184",,"761,669",+546,"5,635",8,"174,712","1,844","5,865,660","1,321,496","4,438,653"
